Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
1.2,40,0.15,0.06,0.078,0.099,0.075,0.0068,0.5,15,0.45,8.31
4,80,0.45,0.02,0.078,0.033,0.225,0.034,0.1,9,1.5,18.142
4,80,0.75,0.02,0.078,0.165,0.225,0.0204,0.1,9,1.5,26.642
2,40,0.45,0.1,0.026,0.099,0.225,0.034,0.3,15,0.75,13.062
4,80,1.5,0.06,0.026,0.165,0.075,0.034,0.1,9,1.5,22.8
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,3,1.5,3.796
4,80,0.15,0.1,0.026,0.165,0.075,0.034,0.1,9,1.5,16.557
4,80,0.15,0.1,0.13,0.33,0.075,0.034,0.1,9,1.5,15.759
2,40,0.15,0.02,0.026,0.099,0.225,0.034,0.1,15,0.75,7.694
4,80,1.5,0.06,0.078,0.099,0.225,0.034,0.1,9,1.5,24.1
4,80,0.75,0.2,0.078,0.033,0.075,0.0068,0.1,9,1.5,26.437
4,80,0.75,0.06,0.026,0.033,0.225,0.034,0.1,9,1.5,22.451
2,40,0.15,0.1,0.078,0.165,0.075,0.0204,0.5,15,0.75,9.16
1.2,8,0.75,0.06,0.026,0.033,0.075,0.0068,0.5,3,0.75,3.184
1.2,8,0.45,0.1,0.078,0.099,0.225,0.0204,0.5,3,0.15,5.511
2,8,0.15,0.06,0.026,0.033,0.075,0.034,0.1,9,0.75,5.377
2,40,0.45,0.02,0.078,0.099,0.225,0.0204,0.1,15,0.75,6.779
4,80,1.5,0.02,0.26,0.033,0.075,0.0204,0.1,9,1.5,17.645
1.2,40,0.15,0.06,0.13,0.165,0.225,0.034,0.5,15,0.75,8.348
4,80,1.5,0.2,0.13,0.099,0.225,0.034,0.1,9,1.5,20.989
4,80,0.75,0.2,0.078,0.099,0.075,0.0068,0.1,9,1.5,28.325
4,80,0.15,0.1,0.078,0.033,0.075,0.034,0.1,9,1.5,19.692
2,8,0.15,0.06,0.13,0.165,0.075,0.034,0.3,9,0.15,2.625
2,40,0.75,0.1,0.078,0.033,0.075,0.0204,0.1,15,0.75,9.071
4,80,0.45,0.1,0.026,0.033,0.075,0.0068,1,9,1.5,1.707
4,80,0.75,0.1,0.078,0.33,0.225,0.0204,0.1,9,1.5,22.728
4,80,1.5,0.1,0.078,0.165,0.375,0.034,0.1,9,1.5,23.906
4,80,1.5,0.06,0.26,0.033,0.075,0.034,0.1,9,1.5,25.096
2,24,0.75,0.02,0.026,0.033,0.375,0.0068,0.3,15,0.75,8.326
0.4,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,9,0.75,8.392
0.4,40,0.15,0.06,0.026,0.165,0.075,0.0068,0.1,15,0.75,0.892
4,80,1.5,0.02,0.26,0.33,0.75,0.068,1,30,1.5,2.066
4,80,1.5,0.1,0.13,0.165,0.375,0.0204,0.1,9,1.5,19.639
4,80,0.45,0.06,0.026,0.033,0.225,0.0204,0.1,9,1.5,19.432
2,40,0.45,0.06,0.078,0.099,0.075,0.034,0.1,15,0.75,5.991
4,80,0.45,0.02,0.13,0.33,0.075,0.0204,0.1,9,1.5,17.574
1.2,40,0.45,0.02,0.026,0.165,0.075,0.0068,0.5,15,0.75,11.605
4,80,0.15,0.06,0.026,0.165,0.225,0.034,0.1,9,1.5,16.493
